rank	model_id	revision	downloads	likes	library_name	pipeline_tag	gated	private
1	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	20083761	1106	transformers	text-generation	false	false
2	Qwen/Qwen3-0.6B	c1899de289a04d12100db370d81485cdf75e47ca	11202195	1117	transformers	text-generation	false	false
3	openai-community/gpt2	607a30d783dfa663caf39e06633721c8d4cfcd7e	10074467	3118	transformers	text-generation	false	false
4	Qwen/Qwen2.5-1.5B-Instruct	989aa7980e4cf806f80c7fef2b1adb7bc71aa306	7223269	627	transformers	text-generation	false	false
5	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	7031691	468	transformers	text-generation	false	false
6	meta-llama/Llama-3.1-8B-Instruct	0e9e39f249a16976918f6564b8830bc894c89659	7006483	5513	transformers	text-generation	manual	false
7	openai/gpt-oss-20b	6cee5e81ee83917806bbde320786a8fb61efebee	6810310	4420	transformers	text-generation	false	false
8	Qwen/Qwen2.5-3B-Instruct	aa8e72537993ba99e69dfaafa59ed015b17504d1	6549539	408	transformers	text-generation	false	false
9	trl-internal-testing/tiny-Qwen2ForCausalLM-2.5	4b10ebee6e13a2669155516652960f50984399fd	6185159	4	transformers	text-generation	false	false
10	Qwen/Qwen3-1.7B	70d244cc86ccca08cf5af4e1e306ecf908b1ad5e	6069688	425	transformers	text-generation	false	false
11	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	5844810	967	transformers	text-generation	false	false
12	facebook/opt-125m	27dcfa74d334bc871f3234de431e71c6eeba5dd6	5741414	233	transformers	text-generation	false	false
13	Qwen/Qwen3-4B	1cfa9a7208912126459214e8b04321603b3df60c	5337795	560	transformers	text-generation	false	false
14	dphn/dolphin-2.9.1-yi-1.5-34b	0141cba238d0faad09bc240ea7af14c9ea5aec44	4644381	55	transformers	text-generation	false	false
15	openai/gpt-oss-120b	b5c939de8f754692c1647ca79fbf85e8c1e70f8a	4118252	4539	transformers	text-generation	false	false
